PA267527,Les Républicains
PA720002,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA346218,Les Républicains
PA330357,Socialistes et apparentés
PA719806,UDI et Indépendants
PA267233,Socialistes et apparentés
PA267585,UDI et Indépendants
PA266774,Les Républicains
PA719480,Non inscrit
PA331567,Agir ensemble
PA429893,Socialistes et apparentés
PA610681,Socialistes et apparentés
PA563,Non inscrit
PA334149,Les Républicains
PA642788,La République en Marche
PA606712,Les Républicains
PA610667,Gauche démocrate et républicaine
PA709315,Les Républicains
PA340853,Les Républicains
PA267336,La République en Marche
PA720606,Non inscrit
PA334843,Les Républicains
PA721860,La République en Marche
PA721670,La République en Marche
PA337483,Socialistes et apparentés
PA721636,Les Républicains
PA609245,Les Républicains
PA267241,UDI et Indépendants
PA1498,Les Républicains
PA606212,Non inscrit
PA719938,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA720198,La République en Marche
PA330684,Les Républicains
PA721764,La République en Marche
PA720798,Non inscrit
PA608011,Socialistes et apparentés
PA722236,La République en Marche
PA335532,Socialistes et apparentés
PA441,Gauche démocrate et républicaine
PA720924,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA267801,UDI et Indépendants
PA2086,Les Républicains
PA722086,La République en Marche
PA609520,La République en Marche
PA719942,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA721564,La République en Marche
PA334654,Les Républicains
PA718706,La République en Marche
PA720512,La République en Marche
PA720242,La République en Marche
PA722054,La République en Marche
PA2792,Les Républicains
PA719664,La République en Marche
PA717151,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA606675,La République en Marche
PA1960,UDI et Indépendants
PA267673,La République en Marche
PA610733,Mouvement Démocrate (MoDem) et Démocrates apparentés
PA722190,La République en Marche
PA693008,UDI et Indépendants
PA588886,Socialistes et apparentés
PA721956,La République en Marche
PA719910,La République en Marche
PA335758,UDI et Indépendants
PA722078,La République en Marche
PA608083,La République en Marche
PA998,Les Républicains
PA721992,Mouvement Démocrate (MoDem) et Démocrates apparentés
